Tempo [s],Temperatura [K],Na,Cl,NaCl
31.949999999999466,1.167089243293611,39.0,68.0,705.0
31.966666666666132,1.1656570737699932,39.0,68.0,705.0
31.983333333332798,1.165675610852584,39.0,68.0,705.0
31.999999999999464,1.1660962716738945,39.0,68.0,705.0
32.01666666666613,1.1665783770286853,39.0,68.0,705.0
32.0333333333328,1.1652765477290006,39.0,68.0,705.0
32.049999999999464,1.1647802671537912,39.0,68.0,705.0
32.06666666666613,1.1642547257200908,39.0,68.0,705.0
32.083333333332796,1.1635464107148785,39.0,68.0,705.0
32.09999999999946,1.163254488975506,39.0,68.0,705.0
32.11666666666613,1.1628926120793937,39.0,68.0,705.0
32.13333333333279,1.1627608363203168,39.0,68.0,705.0
32.14999999999946,1.161915501838898,39.0,68.0,705.0
32.166666666666124,1.1608410666673845,39.0,68.0,705.0
32.18333333333279,1.1606087397607583,39.0,68.0,705.0
32.199999999999456,1.1606726456984986,39.0,68.0,705.0
32.21666666666612,1.160887750469118,39.0,68.0,705.0
32.23333333333279,1.1604086042713393,39.0,68.0,705.0
32.24999999999945,1.1597852978418557,39.0,68.0,705.0
32.26666666666612,1.1602716977590974,38.0,67.0,706.0
32.283333333332784,1.1599483331774987,38.0,67.0,706.0
32.29999999999945,1.1596176412519863,38.0,67.0,706.0
32.316666666666116,1.1601489232561957,38.0,67.0,706.0
32.33333333333278,1.1594849601822899,38.0,67.0,706.0
32.34999999999945,1.1583433973846105,38.0,67.0,706.0
32.36666666666611,1.157988576152267,38.0,67.0,706.0
32.38333333333278,1.1589538066322846,38.0,67.0,706.0
32.399999999999444,1.1588356136996765,38.0,67.0,706.0
32.41666666666611,1.1596756974542428,38.0,67.0,706.0
32.433333333332776,1.1605083204707396,38.0,67.0,706.0
32.44999999999944,1.1595224174568588,38.0,67.0,706.0
32.46666666666611,1.1605128439197598,38.0,67.0,706.0
32.48333333333277,1.1574445705691918,38.0,67.0,706.0
32.49999999999944,1.1548423158872816,38.0,67.0,706.0
32.516666666666104,1.1568011247137924,38.0,67.0,706.0
32.53333333333277,1.1560894093339333,38.0,67.0,706.0
32.549999999999436,1.157872894759753,38.0,67.0,706.0
32.5666666666661,1.1570904046987434,38.0,67.0,706.0
32.58333333333277,1.1574658195427712,38.0,67.0,706.0
32.59999999999943,1.1566306058250262,38.0,67.0,706.0
32.6166666666661,1.1564585789237427,38.0,67.0,706.0
32.633333333332764,1.1572792162449144,38.0,67.0,706.0
32.64999999999943,1.1568822856704424,38.0,67.0,706.0
32.666666666666096,1.1580021124844315,38.0,67.0,706.0
32.68333333333276,1.1582909695631953,38.0,67.0,706.0
32.69999999999943,1.1596601493698178,38.0,67.0,706.0
32.71666666666609,1.15960768323681,38.0,67.0,706.0
32.73333333333276,1.1589276688783305,38.0,67.0,706.0
32.749999999999424,1.159448030768491,38.0,67.0,706.0
