Tempo [s],Temperatura [K],Cl,Na,NaCl
30.083333333332906,0.43784106245624227,214.0,153.0,573.0
30.09999999999957,0.43834912349650335,214.0,153.0,573.0
30.116666666666237,0.4384704413831812,214.0,153.0,573.0
30.133333333332903,0.4385175634981054,214.0,153.0,573.0
30.14999999999957,0.4372068835234606,214.0,153.0,573.0
30.166666666666234,0.43727719664646614,214.0,153.0,573.0
30.1833333333329,0.4370893084443362,214.0,153.0,573.0
30.199999999999566,0.43712620976626443,214.0,153.0,573.0
30.21666666666623,0.4367821568231478,214.0,153.0,573.0
30.233333333332897,0.4369782488064482,214.0,153.0,573.0
30.249999999999563,0.4372485116536166,214.0,153.0,573.0
30.26666666666623,0.43720138941967135,214.0,153.0,573.0
30.283333333332894,0.4374061095833537,214.0,153.0,573.0
30.29999999999956,0.437390140649206,214.0,153.0,573.0
30.316666666666226,0.4376011137404737,214.0,153.0,573.0
30.33333333333289,0.4377706852425091,214.0,153.0,573.0
30.349999999999557,0.4377555732770129,214.0,153.0,573.0
30.366666666666223,0.4377266404389368,214.0,153.0,573.0
30.38333333333289,0.4386000000100535,213.0,152.0,574.0
30.399999999999554,0.43794675697960456,213.0,152.0,574.0
30.41666666666622,0.43865145927274435,212.0,151.0,575.0
30.433333333332886,0.43834585000877074,212.0,151.0,575.0
30.44999999999955,0.43901197014172444,212.0,151.0,575.0
30.466666666666217,0.4393143414536277,212.0,151.0,575.0
30.483333333332883,0.4393537620999289,212.0,151.0,575.0
30.49999999999955,0.43885999164558404,212.0,151.0,575.0
30.516666666666215,0.43880880938506583,212.0,151.0,575.0
30.53333333333288,0.43878394740185994,212.0,151.0,575.0
30.549999999999546,0.4377131398896347,212.0,151.0,575.0
30.56666666666621,0.4376190653147448,212.0,151.0,575.0
30.583333333332877,0.4381318874903818,212.0,151.0,575.0
30.599999999999543,0.4374703640455327,212.0,151.0,575.0
30.61666666666621,0.4381499065803716,212.0,151.0,575.0
30.633333333332875,0.43832172012405635,212.0,151.0,575.0
30.64999999999954,0.43815109410697267,212.0,151.0,575.0
30.666666666666206,0.4382910935266784,212.0,151.0,575.0
30.68333333333287,0.4385299373794545,212.0,151.0,575.0
30.699999999999537,0.43835187405940107,212.0,151.0,575.0
30.716666666666203,0.43782509343461756,212.0,151.0,575.0
30.73333333333287,0.4374269858994428,212.0,151.0,575.0
30.749999999999535,0.43785334010946464,212.0,151.0,575.0
30.7666666666662,0.43766604615346316,212.0,151.0,575.0
30.783333333332866,0.43729588304608896,212.0,151.0,575.0
30.79999999999953,0.4372923427040667,212.0,151.0,575.0
30.816666666666197,0.43763139425154435,212.0,151.0,575.0
30.833333333332863,0.4372421156072323,212.0,151.0,575.0
30.84999999999953,0.4371556068849339,212.0,151.0,575.0
30.866666666666195,0.4370143556306155,212.0,151.0,575.0
30.88333333333286,0.43751261596908025,212.0,151.0,575.0
30.899999999999526,0.43798056710890304,211.0,150.0,576.0
30.916666666666192,0.4383594918810699,211.0,150.0,576.0
30.933333333332858,0.43837896456864756,211.0,150.0,576.0
30.949999999999523,0.438398345813125,210.0,149.0,577.0
30.96666666666619,0.4392209165610596,209.0,148.0,578.0
30.983333333332855,0.43914775903485237,209.0,148.0,578.0
30.99999999999952,0.43915710344629144,209.0,148.0,578.0
31.016666666666186,0.43916672216673336,209.0,148.0,578.0
31.033333333332852,0.4385607496151469,209.0,148.0,578.0
31.049999999999518,0.43846715334102854,209.0,148.0,578.0
31.066666666666183,0.43858489892809804,209.0,148.0,578.0
31.08333333333285,0.4381726965178919,209.0,148.0,578.0
31.099999999999515,0.43790970327257783,209.0,148.0,578.0
